year,course_type,course_name
2014,Full-Time,Higher Nitec in Accounting
2014,Full-Time,Higher Nitec in Advanced Manufacturing
2014,Full-Time,Higher Nitec in Aerospace Engineering
2014,Full-Time,Higher Nitec in Banking Services
2014,Full-Time,Higher Nitec in Beauty & Spa Management
2014,Full-Time,Higher Nitec in Biotechnology
2014,Full-Time,Higher Nitec in Business Information Systems
2014,Full-Time,Higher Nitec in Chemical Technology
2014,Full-Time,Higher Nitec in Civil & Structural Engineering Design
2014,Full-Time,Higher Nitec in Early Childhood Education
2014,Full-Time,Higher Nitec in e-Business Programming
2014,Full-Time,Higher Nitec in Electrical Engineering
2014,Full-Time,Higher Nitec in Electronics Engineering
2014,Full-Time,Higher Nitec in Event Management
2014,Full-Time,Higher Nitec in Facility Management
2014,Full-Time,Higher Nitec in Facility Systems Design
2014,Full-Time,Higher Nitec in Filmmaking (Cinematography)
2014,Full-Time,Higher Nitec in Games Design & Development
2014,Full-Time,Higher Nitec in Hospitality Operations
2014,Full-Time,Higher Nitec in Human Resource & Administration
2014,Full-Time,Higher Nitec in Information Technology
2014,Full-Time,Higher Nitec in Leisure & Travel Operations
2014,Full-Time,Higher Nitec in Logistics for International Trade
2014,Full-Time,Higher Nitec in Marine & Offshore Technology
2014,Full-Time,Higher Nitec in Marine Engineering
2014,Full-Time,Higher Nitec in Mechanical Engineering
2014,Full-Time,Higher Nitec in Mechatronics Engineering
2014,Full-Time,Higher Nitec in Mobile Unified Communications
2014,Full-Time,Higher Nitec in Network Security Technology
2014,Full-Time,Higher Nitec in Offshore & Marine Engineering Design
2014,Full-Time,Higher Nitec in Paramedic & Emergency Care
2014,Full-Time,Higher Nitec in Passenger Services
2014,Full-Time,Higher Nitec in Performance Production
2014,Full-Time,Higher Nitec in Process Plant Design
2014,Full-Time,Higher Nitec in Retail Merchandising
2014,Full-Time,Higher Nitec in Security System Integration
2014,Full-Time,Higher Nitec in Service Management
2014,Full-Time,Higher Nitec in Shipping Operations & Services
2014,Full-Time,Higher Nitec in Space Design Technology
2014,Full-Time,Higher Nitec in Sport Management
2014,Full-Time,Higher Nitec in Visual Merchandising
2014,Full-Time,Nitec in Aerospace Avionics
2014,Full-Time,Nitec in Aerospace Machining Technology
2014,Full-Time,Nitec in Aerospace Technology
2014,Full-Time,Nitec in Applied Food Science
2014,Full-Time,Nitec in Asian Culinary Arts
2014,Full-Time,Nitec in Automotive Technology (Heavy Vehicles)
2014,Full-Time,Nitec in Automotive Technology (Light Vehicles)
2014,Full-Time,Nitec in Beauty & Wellness
2014,Full-Time,Nitec in Beauty & Wellness (3-year)
2014,Full-Time,Nitec in Business Services
2014,Full-Time,Nitec in Chemical Process Technology (Biologics)
2014,Full-Time,Nitec in Chemical Process Technology (Petrochemicals)
2014,Full-Time,Nitec in Chemical Process Technology (Pharmaceuticals)
2014,Full-Time,Nitec in Chemical Process Technology (Process Instrumentation)
2014,Full-Time,Nitec in Community Care & Social Services
2014,Full-Time,Nitec in Digital Animation
2014,Full-Time,Nitec in Digital Audio & Video Production
2014,Full-Time,Nitec in Electrical Technology (Lighting & Sound)
2014,Full-Time,Nitec in Electrical Technology (Power & Control)
2014,Full-Time,Nitec in Electronics (Broadband Technology & Services)
2014,Full-Time,Nitec in Electronics (Computer & Networking)
2014,Full-Time,Nitec in Electronics (Display Technology)
2014,Full-Time,Nitec in Electronics (Instrumentation)
2014,Full-Time,Nitec in Electronics (Microelectronics)
2014,Full-Time,Nitec in Electronics (Mobile Devices)
2014,Full-Time,Nitec in Facility Technology (Air-Conditioning & Refrigeration)
2014,Full-Time,Nitec in Facility Technology (Landscaping Services)
2014,Full-Time,Nitec in Facility Technology (Mechanical & Electrical Services)
2014,Full-Time,Nitec in Facility Technology (Mechanical & Electrical Services) (3-year)
2014,Full-Time,Nitec in Facility Technology (Vertical Transportation)
2014,Full-Time,Nitec in Fashion Apparel Production & Design
2014,Full-Time,Nitec in Finance Services
2014,Full-Time,Nitec in Fitness Training
